Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Stream Chemistry After Colorado’s Largest Wildfire: Solute-Specific Responses to Ash and Rainstorms,Ecosystems,,,,10.1007/s10021-025-00997-2,Charles C. RhoadesTimothy S. FegelAllison E. RheaJared HeathSam StruthersKatie WilliMatthew R. V. Ross,2025,https://link.springer.com/article/10.1007/s10021-025-00997-2,Article
"Two and a half decades of United States wildfire burn zone disaster data, 2000-2025",Scientific Data,,,,10.1038/s41597-025-06226-8,Lauren B. WilnerLogan PiepmeierMilo GordonBenjamin B. SteigerAlexander J. NorthropHeather McBrienBrittany SheaGabriella Y. MeltzerNeil Singh BediElizabeth M. BlakeTarik BenmarhniaDanielle BraunJoan A. Casey,2025,https://link.springer.com/article/10.1038/s41597-025-06226-8,Article
Landscape controls on fuel moisture variability in fire-prone heathland and peatland landscapes,Fire Ecology,,,,10.1186/s42408-024-00248-0,Kerryn LittleLaura J GrahamMike FlanniganClaire M BelcherNicholas Kettridge,2024,https://link.springer.com/article/10.1186/s42408-024-00248-0,Article
"Historical fire regimes from red pines (<i>Pinus resinosa</i> Ait.) across the Tension Zone in the Lower Peninsula, Michigan USA",Fire Ecology,,,,10.1186/s42408-024-00253-3,Michael C. StambaughJoseph M. MarschallErin R. AbadirRichard P. GuyetteDaniel C. Dey,2024,https://link.springer.com/article/10.1186/s42408-024-00253-3,Article
Hydrological response of wildfire affected Mediterranean watersheds,Natural Hazards,,,,10.1007/s11069-025-07958-x,F. PretiA. DaniM. NigroL. PiemonteseM. MaxwaldC. FoderiS. GinanniA. Volpe Signorile,2026,https://link.springer.com/article/10.1007/s11069-025-07958-x,Article
"Assessment of forest fire emissions in Uttarakhand State, India, using Open Geospatial data and Google Earth Engine",Environmental Science and Pollution Research,,,,10.1007/s11356-023-29311-0,Laxmi GoparajuRama Chandra Prasad PillutlaSuresh Babu Kukkala Venkata,2023,https://link.springer.com/article/10.1007/s11356-023-29311-0,Article
"Prescribed fire in longleaf pine ecosystems: fire managers’ perspectives on priorities, constraints, and future prospects",Fire Ecology,,,,10.1186/s42408-022-00151-6,John A. KupferKirsten LackstromJohn M. GregoKirstin DowAdam J. TerandoJ. Kevin Hiers,2022,https://link.springer.com/article/10.1186/s42408-022-00151-6,Article
"Cats, foxes and fire: quantitative review reveals that invasive predator activity is most likely to increase shortly after fire",Fire Ecology,,,,10.1186/s42408-023-00183-6,Tim S. DohertyDarcy J. WatchornVivianna MiritisAngela J. L. PestellWilliam L. Geary,2023,https://link.springer.com/article/10.1186/s42408-023-00183-6,Article
Machine learning wildfire susceptibility mapping for Germany,Natural Hazards,,,,10.1007/s11069-025-07292-2,Boris Thies,2025,https://link.springer.com/article/10.1007/s11069-025-07292-2,Article
A data-driven analysis and optimization of the impact of prescribed fire programs on wildfire risk in different regions of the USA,Natural Hazards,,,,10.1007/s11069-023-05997-w,Esther JosePuneet AgarwalJun Zhuang,2023,https://link.springer.com/article/10.1007/s11069-023-05997-w,Article
Quality assured spatial dataset of wildfire containment firelines and engagement outcomes 2017 to 2024,Scientific Data,,,,10.1038/s41597-025-05208-0,Alexander ArkowitzScott M. RitterMatthew P. ThompsonJesse D. YoungBrad PietruszkaDavid E. Calkin,2025,https://link.springer.com/article/10.1038/s41597-025-05208-0,Article
Post-fire Damage Assessment of Buildings at the Wildland Urban Interface,Proceedings of the Canadian Society of Civil Engineering Annual Conference 2022,,,,10.1007/978-3-031-34593-7_55,Ahmad Abo-El-EzzFaten AlShaikhAzarm FarzamMarc-Olivier CôtéMarie-José Nollet,2023,https://link.springer.com/chapter/10.1007/978-3-031-34593-7_55,Conference paper
Assessment of spatial autocorrelation and scalability in fine-scale wildfire random forest prediction models,Scientific Reports,,,,10.1038/s41598-025-06814-z,Madeleine Pascolini-CampbellJoshua B. FisherKerry Cawse-NicholsonChristine M. LeeNatasha Stavros,2025,https://link.springer.com/article/10.1038/s41598-025-06814-z,Article
Investigation of wildfire risk and its mapping using GIS-integrated AHP method: a case study over Hoshangabad Forest Division in Central India,"Environment, Development and Sustainability",,,,10.1007/s10668-024-05225-w,Mohd Amin KhanAmitesh GuptaPritee SharmaArijit Roy,2024,https://link.springer.com/article/10.1007/s10668-024-05225-w,Article
Fuel treatment response groups for fire-prone sagebrush landscapes,Fire Ecology,,,,10.1186/s42408-023-00230-2,Jeanne C. ChambersJessi L. BrownMatthew C. ReevesEva K. StrandLisa M. EllsworthClaire M. TortorelliAlexandra K. UrzaKaren C. Short,2023,https://link.springer.com/article/10.1186/s42408-023-00230-2,Article
Modeling Neighborhoods as Fuel for Wildfire: A Review,Fire Technology,,,,10.1007/s10694-025-01773-3,Bryce A. YoungMatthew P. ThompsonChristopher J. MoranCarl A. Seielstad,2025,https://link.springer.com/article/10.1007/s10694-025-01773-3,Article
Phragmites-fire feedbacks: the influence of fire and disturbance-altered hydrology on the abundance of <i>Phragmites australis</i>,Biological Invasions,,,,10.1007/s10530-023-03163-8,Nicholas T. LinkDaniel L. McLaughlinNathan BushFrederic C. Wurster,2023,https://link.springer.com/article/10.1007/s10530-023-03163-8,Article
Wildfire and power grid nexus in a changing climate,Nature Reviews Electrical Engineering,,,,10.1038/s44287-025-00150-0,Soroush VahediJunbo ZhaoBrian PierreFangni LeiEmmanouil AnagnostouKang HeCharles JonesBin Wang,2025,https://link.springer.com/article/10.1038/s44287-025-00150-0,Article
Forest Fire Detection and Prediction Using HSV and MLP,Data Science and Applications,,,,10.1007/978-981-99-7817-5_6,Manasvi SabnisPradnya PatilPriya PatelAditi Adurkar,2024,https://link.springer.com/chapter/10.1007/978-981-99-7817-5_6,Conference paper
Machine learning analysis of Iran’s wildfire landscape and anthropogenic influences,Scientific Reports,,,,10.1038/s41598-025-22387-3,Nasim SadraMohammad Reza NikooRouzbeh NazariMaryam KarimiMd Galal UddinAmir H. Gandomi,2026,https://link.springer.com/article/10.1038/s41598-025-22387-3,Article
Efficient Deep Learning-Based Fire and&#xa0;Smoke Detection with&#xa0;YOLO Architecture,The 18th International Conference Interdisciplinarity in Engineering,,,,10.1007/978-3-031-81685-7_11,Szidónia LefkovitsNicolae LupușorLászló Lefkovits,2025,https://link.springer.com/chapter/10.1007/978-3-031-81685-7_11,Conference paper
"Multi-scale numerical simulations of the synoptic environment, Diablo windstorm, and wildfire formation mechanisms for the Tubbs Fire (2017)",Meteorology and Atmospheric Physics,,,,10.1007/s00703-023-01001-z,Jackson T. WilesYuh-Lang LinMichael L. Kaplan,2024,https://link.springer.com/article/10.1007/s00703-023-01001-z,Article
Landscape-scale fuel treatment effectiveness: lessons learned from wildland fire case studies in forests of the western United States and Great Lakes region,Fire Ecology,,,,10.1186/s42408-022-00159-y,Alexandra K. UrzaBrice B. HanberryTheresa B. Jain,2023,https://link.springer.com/article/10.1186/s42408-022-00159-y,Article
"After the Fire: Potential Impacts of Fire Exclusion Policies on Historical Cherokee Culture in the Southern Appalachian Mountains, USA",Human Ecology,,,,10.1007/s10745-023-00395-z,Carson ColenbaughDonald L. Hagan,2023,https://link.springer.com/article/10.1007/s10745-023-00395-z,Article
"Fire following earthquake: a comprehensive review of ignition, spread, and risk assessment models",Natural Hazards,,,,10.1007/s11069-025-07794-z,Jishuang WuBaitao SunGuixin Zhang,2026,https://link.springer.com/article/10.1007/s11069-025-07794-z,Article
The impact of a severe wildfire on canopy structure and composition in a lowland mixed-eucalypt forest in southeastern Australia,Fire Ecology,,,,10.1186/s42408-025-00366-3,Mark T. LutzeRaphaёl TrouvéPatrick J. BakerCraig R. Nitschke,2025,https://link.springer.com/article/10.1186/s42408-025-00366-3,Article
Wildfire Management: A Systematic Review of Optimization Under Uncertainty and Complexity,Operations Research Forum,,,,10.1007/s43069-026-00604-7,Paria RostamianAmin Ahmadi DigehsaraKibele Sebnem YildirimAmir Ardestani-Jaafari,2026,https://link.springer.com/article/10.1007/s43069-026-00604-7,Article
Burn severity and proximity to undisturbed forest drive post-fire recovery in the tropical montane forests of northern Vietnam,Fire Ecology,,,,10.1186/s42408-023-00205-3,Pham T. TrangMargaret E. AndrewNeal J. Enright,2023,https://link.springer.com/article/10.1186/s42408-023-00205-3,Article
Impacts of multi-method learning on prescribed fire perceptions in Texas,Fire Ecology,,,,10.1186/s42408-025-00411-1,Erika N. SullivanMorgan L. Treadwell,2025,https://link.springer.com/article/10.1186/s42408-025-00411-1,Article
An Approach to&#xa0;Conserve Wildlife Habitat by&#xa0;Predicting Forest Fire Using Machine Learning Technique,Data Analytics and Learning,,,,10.1007/978-981-99-6346-1_5,N. BhavatariniS. SanthoshN. BalajiDeepa Kumari,2024,https://link.springer.com/chapter/10.1007/978-981-99-6346-1_5,Conference paper
Global warming amplifies wildfire health burden and reshapes inequality,Nature,,,,10.1038/s41586-025-09612-9,Junri ZhaoBo ZhengPhilippe CiaisYang ChenThomas GasserJosep G. CanadellLongyi ZhangQiang Zhang,2025,https://link.springer.com/article/10.1038/s41586-025-09612-9,Article
"Post-Conquest vegetation and fire dynamics at Laguna Carse, Costa Rica: A pollen and microscopic charcoal record",Vegetation History and Archaeobotany,,,,10.1007/s00334-023-00981-7,Taber FriedelErik N. JohansonSally P. Horn,2024,https://link.springer.com/article/10.1007/s00334-023-00981-7,Article
Integer programming based on spherical fuzzy AHP and spherical fuzzy TOPSIS for wildfire equipment planning,Environment Systems and Decisions,,,,10.1007/s10669-025-10029-y,Burcu TezcanTamer Eren,2025,https://link.springer.com/article/10.1007/s10669-025-10029-y,Article
"Influence of wildfire severity on plant and bird species richness, diversity and composition",Discover Conservation,,,,10.1007/s44353-024-00016-w,Liubov VolkovaJulian Di StefanoEliza K. ThompsonChristopher J. Weston,2025,https://link.springer.com/article/10.1007/s44353-024-00016-w,Article
"Fire Safety for Green Façades: Part 1: Basics, State-of-the-Art Research and Experimental Investigation of Plant Flammability",Fire Technology,,,,10.1007/s10694-024-01566-0,Thomas EngelNorman Werther,2024,https://link.springer.com/article/10.1007/s10694-024-01566-0,Article
Conceptual Basis for a Sustainable and Fire Resilient Built Environment,Fire Technology,,,,10.1007/s10694-023-01490-9,Margaret McNameeBrian J. Meacham,2023,https://link.springer.com/article/10.1007/s10694-023-01490-9,Article
Comparing ground-based lightning detection networks near wildfire points-of-origin,Natural Hazards,,,,10.1007/s11069-024-06741-8,Benjamin J. HatchettNicholas J. NauslarTimothy J. Brown,2024,https://link.springer.com/article/10.1007/s11069-024-06741-8,Article
Predicting and Assessing Wildfire Evacuation Decision-Making Using Machine Learning: Findings from the 2019 Kincade Fire,Fire Technology,,,,10.1007/s10694-023-01363-1,Ningzhe XuRuggiero LovreglioErica D. KuligowskiThomas J. CovaDaniel NilssonXilei Zhao,2023,https://link.springer.com/article/10.1007/s10694-023-01363-1,Article
Trends and impacts of temperature and fire regimes in South Africa’s coastal national parks: implications for tourism,Natural Hazards,,,,10.1007/s11069-023-06384-1,Lazarus ChapunguGodwell NhamoDavid ChikodziKaitano Dube,2024,https://link.springer.com/article/10.1007/s11069-023-06384-1,Article
Abiotic Factors Modify Ponderosa Pine Regeneration Outcomes After High-Severity Fire,Ecosystems,,,,10.1007/s10021-024-00911-2,Kevin G. WillsonMatthew D. Hurteau,2024,https://link.springer.com/article/10.1007/s10021-024-00911-2,Article
Changing fire regimes in East and Southern Africa’s savanna-protected areas: opportunities and challenges for indigenous-led savanna burning emissions abatement schemes,Fire Ecology,,,,10.1186/s42408-023-00215-1,Abigail R. CrokerJeremy WoodsYiannis Kountouris,2023,https://link.springer.com/article/10.1186/s42408-023-00215-1,Article
Dynamic Risk Assessment of Wildfire-Induced Transmission Line Breakdown Based on Data Assimilation Method,Fire Technology,,,,10.1007/s10694-025-01728-8,Zheng WangMengxia ZhaJie JiWenzhou WuLong Ding,2025,https://link.springer.com/article/10.1007/s10694-025-01728-8,Article
Wildfire risk for global wildland–urban interface areas,Nature Sustainability,,,,10.1038/s41893-024-01291-0,Bin ChenShengbiao WuYufang JinYimeng SongChao WuSergey VenevskyBing XuChris WebsterPeng Gong,2024,https://link.springer.com/article/10.1038/s41893-024-01291-0,Article
"A Survey on Fire Detection and Mitigation Methods, and Its Challenges",ICT for Intelligent Systems,,,,10.1007/978-981-97-6684-0_32,R. Vijaya SaraswathiChandana SankarapuramSharanya EmmadisettySoumika MallidiM. Sree Pranav ReddySreya Tirumalaraju,2024,https://link.springer.com/chapter/10.1007/978-981-97-6684-0_32,Conference paper
Wildfires as legacies of agropastoral abandonment: Gendered litter raking and managed burning as historic fire prevention practices in the Monte Pisano of Italy,Ambio,,,,10.1007/s13280-024-01993-x,Andrew S. MathewsFabio Malfatti,2024,https://link.springer.com/article/10.1007/s13280-024-01993-x,Article
Trending and emerging prospects of physics-based and ML-based wildfire spread models: a comprehensive review,Journal of Forestry Research,,,,10.1007/s11676-024-01783-x,Harikesh SinghLi-Minn AngTom LewisDipak PaudyalMauricio AcunaPrashant Kumar SrivastavaSanjeev Kumar Srivastava,2024,https://link.springer.com/article/10.1007/s11676-024-01783-x,Article
Simulating forest fires in Uttarakhand: Uncovering the role of meteorological variables,Journal of Earth System Science,,,,10.1007/s12040-025-02723-x,Leena KhadkeSandipan MukherjeeSubimal Ghosh,2026,https://link.springer.com/article/10.1007/s12040-025-02723-x,Article
Evaluation of the effect of spatial and temporal resolutions for digital change detection: case of forest fire,Natural Hazards,,,,10.1007/s11069-023-06199-0,Ayben BalsakBekir Taner San,2023,https://link.springer.com/article/10.1007/s11069-023-06199-0,Article
"Dispersal, population size, and reproduction in a fire-maintained frosted elfin (<i>Callophrys irus</i>) metapopulation",Journal of Insect Conservation,,,,10.1007/s10841-023-00531-6,Robert T. MeyerNelson T. BallDave McElveen,2023,https://link.springer.com/article/10.1007/s10841-023-00531-6,Article
A Mobile Application for&#xa0;Wooden House Fire Risk Notifications Based on&#xa0;Edge Computing,Information Systems and Technologies,,,,10.1007/978-3-031-45645-9_23,Ruben D. StrandLars M. KristensenThorbjørn SvendalEmilie H. FisketjønAbu T. Hussain,2024,https://link.springer.com/chapter/10.1007/978-3-031-45645-9_23,Conference paper
Statistical dynamics of wildfire burned area from cellular-automata simulators,Scientific Reports,,,,10.1038/s41598-025-30851-3,Adel SahilaBenedetta CanforaMarzia CanzanielloNicolò PerelloAndrea TrucchiaGianni Pagnini,2025,https://link.springer.com/article/10.1038/s41598-025-30851-3,Article
Perceived wildfire risk and past experiences with wildfire smoke influence public support for prescribed burning in the western conterminous United States,BMC Public Health,,,,10.1186/s12889-025-21295-5,Christopher J RogersCeleste BeckRima HabreJo Kay Ghosh,2025,https://link.springer.com/article/10.1186/s12889-025-21295-5,Article
Delayed formation of Arctic snow cover in response to wildland fires in a warming climate,Nature Climate Change,,,,10.1038/s41558-025-02443-6,Yamin QingShuo WangAmir AghaKouchakPierre Gentine,2025,https://link.springer.com/article/10.1038/s41558-025-02443-6,Article
Impact and recovery of forest cover following wildfire in the Northern Rocky Mountains of the United States,Fire Ecology,,,,10.1186/s42408-024-00285-9,Margaret D. EpsteinCarl A. SeielstadChristopher J. Moran,2024,https://link.springer.com/article/10.1186/s42408-024-00285-9,Article
Ashes of governance: Brazil’s 2024 wildfire crisis and its implications,Regional Environmental Change,,,,10.1007/s10113-025-02469-8,Ronan Adler TavellaFernando Rafael de MouraFlavio Manoel Rodrigues da Silva Júnior,2025,https://link.springer.com/article/10.1007/s10113-025-02469-8,Article
"Machine learning-driven wildfire susceptibility mapping in New South Wales, Australia using remote sensing and explainable artificial intelligence",Natural Hazards,,,,10.1007/s11069-025-07395-w,Rufai Yusuf ZakariOwais Ahmed MalikOng Wee-Hong,2025,https://link.springer.com/article/10.1007/s11069-025-07395-w,Article
"pyO3F—A Python Framework for Wildfire-Related Optimization, Part I: Design and Fundamentals",Advances in Optimization and Wildfire,,,,10.1007/978-3-032-03108-2_3,Filipe Alvelos,2026,https://link.springer.com/chapter/10.1007/978-3-032-03108-2_3,Conference paper
Ecosystem type and species’ traits help explain bird responses to spatial patterns of fire,Fire Ecology,,,,10.1186/s42408-023-00221-3,Frederick W. RainsfordKatherine M. GiljohannAndrew F. BennettMichael F. ClarkeJosephine MacHunterKatharine SeniorHolly SittersSimon WatsonLuke T. Kelly,2023,https://link.springer.com/article/10.1186/s42408-023-00221-3,Article
Modelling spatiotemporal patterns of wildfire risk in the Garden Route District biodiversity hotspots using analytic hierarchy process in South Africa,Natural Hazards,,,,10.1007/s11069-024-06877-7,Phindile Siyasanga ShingaSolomon G. TesfamichaelPhila SibandzeAhmed Mukalazi KalumbaGbenga Abayomi Afuye,2024,https://link.springer.com/article/10.1007/s11069-024-06877-7,Article
Quantitative assessment of fire occurrence Dead Fuel Index threshold and spatio-temporal variation in different grassland types of China-Mongolia border area,Journal of Geographical Sciences,,,,10.1007/s11442-023-2146-2,Lumen ChaoYulong BaoJiquan ZhangYuhai BaoLi MeiZhihui Yuan,2023,https://link.springer.com/article/10.1007/s11442-023-2146-2,Article
Post-fire soil emissions of nitric oxide (NO) and nitrous oxide (N<sub>2</sub>O) across global ecosystems: a review,Biogeochemistry,,,,10.1007/s10533-023-01072-5,Elizah Z. StephensPeter M. Homyak,2023,https://link.springer.com/article/10.1007/s10533-023-01072-5,Article
Bridging the “Last-mile Gap” in Climate Services Delivery: A Dynamical-AI Hybrid Framework for Next-Month Wildfire Danger Prediction and Emergency Action,Advances in Atmospheric Sciences,,,,10.1007/s00376-025-5091-4,Yuxian PanJing YangMengqian LuQing BaoTao ZhuQichao YaoStacey NewDeliang ChenChunming ShiLijuan Chen,2025,https://link.springer.com/article/10.1007/s00376-025-5091-4,Article
Development and Application of a Sentinel-2 Satellite Imagery Dataset for Deep-Learning Driven Forest Wildfire Detection,SN Computer Science,,,,10.1007/s42979-025-04454-8,Valeria MartinK. Brent VenableDerek Morgan,2025,https://link.springer.com/article/10.1007/s42979-025-04454-8,Article
The role of fuel treatments during incident management,Fire Ecology,,,,10.1186/s42408-025-00369-0,S. Michelle GreinerCourtney SchultzKatie McGrath NovakAdam Lohman,2025,https://link.springer.com/article/10.1186/s42408-025-00369-0,Article
Substantial changes in land and forest management led to critical transitions in peatland functioning over the last 700&#xa0;years,Scientific Reports,,,,10.1038/s41598-025-02580-0,Katarzyna MarciszMariusz BąkMariusz LamentowiczPiotr KołaczekThomas TheurerPaweł MatulewskiDmitri Mauquoy,2025,https://link.springer.com/article/10.1038/s41598-025-02580-0,Article
Some like it burnt: species differences in small mammal assemblage in a Mediterranean basin nearly 3 years after a major fire,Mammal Research,,,,10.1007/s13364-024-00742-5,Orlando TomassiniAnna AghemoBenedetta BaldeschiGianni BediniGiulio PetroniDimitri GiunchiAlessandro Massolo,2024,https://link.springer.com/article/10.1007/s13364-024-00742-5,Article
Modeling Wildfire Effects on Ecosystem Services in two Disparate California Watersheds and Communities,Environmental Management,,,,10.1007/s00267-025-02185-3,Ibrahim BusariMatthew R. SloggyMani Rouhi RadDebabrata SahooStacy A. DruryFrancisco J. Escobedo,2025,https://link.springer.com/article/10.1007/s00267-025-02185-3,Article
Multi-Level Building Fire Defense Strategies Fused with Intelligent Optimization Algorithms and Monitoring Data: A Systematic Review,Archives of Computational Methods in Engineering,,,,10.1007/s11831-026-10537-3,Yan LiBin Sun,2026,https://link.springer.com/article/10.1007/s11831-026-10537-3,Article
Assessment of wildfire risk under normal and extreme climate conditions: A multi-criteria approach,Theoretical and Applied Climatology,,,,10.1007/s00704-026-06122-0,Emre ÖzelkanEsra ErenHasan TatliRamazan Cüneyt Erenoğlu,2026,https://link.springer.com/article/10.1007/s00704-026-06122-0,Article
"Estimating the economic value of carbon losses from wildfires using publicly available data sources: Eagle Creek Fire, Oregon 2017",Fire Ecology,,,,10.1186/s42408-023-00206-2,Kristin SweeneyRuth DittrichSpencer MoffatChelsea PowerJeffrey D. Kline,2023,https://link.springer.com/article/10.1186/s42408-023-00206-2,Article
Sediment generation through thermal spalling during the 2021 montiferru planargia wildfire and its contribution to postfire debris flows,Scientific Reports,,,,10.1038/s41598-025-15527-2,Costantino PalaMaria Teresa MelisLaura PioliRoberto SarroStefano LoddoSalvatore CinusMaria Teresa Brunetti,2025,https://link.springer.com/article/10.1038/s41598-025-15527-2,Article
Impact of El Niño Southern Oscillation and Indian ocean dipole on wildfire across the Indian forests,Natural Hazards,,,,10.1007/s11069-025-07937-2,Anandu PrabhakaranPiyush Srivastava,2026,https://link.springer.com/article/10.1007/s11069-025-07937-2,Article
Firestorm - A Deep Learning Approach to Wildfire Prediction,Proceedings of the International Conference on AI and Robotics,,,,10.1007/978-3-032-05548-4_23,G. RevathySivakumar MadeshwaranV. BalajishanmugamM. Thangavel,2025,https://link.springer.com/chapter/10.1007/978-3-032-05548-4_23,Conference paper
Forest fires in Kenya: a systematic review,Discover Forests,,,,10.1007/s44415-025-00012-5,Brian RotichMercy NdalilaDavid MwendaStanley Makindi,2025,https://link.springer.com/article/10.1007/s44415-025-00012-5,Article
Machine learning methods for wildfire risk assessment,Earth Science Informatics,,,,10.1007/s12145-024-01690-z,Carlos BrysDavid Luis La Red MartínezMarcelo Marinelli,2025,https://link.springer.com/article/10.1007/s12145-024-01690-z,Article
The relationship between fire severity and burning efficiency for estimating wildfire emissions in Mediterranean forests,Journal of Forestry Research,,,,10.1007/s11676-023-01599-1,Bountouraby BaldeCristina Vega-GarciaPere Joan GelabertAitor AmezteguiMarcos Rodrigues,2023,https://link.springer.com/article/10.1007/s11676-023-01599-1,Article
Innovation to support wildfire risk-based decision-making: examining the incident strategic alignment process,Fire Ecology,,,,10.1186/s42408-025-00403-1,William Cole BuettnerTyler  AldworthS. Michelle GreinerTyler  A.  BeetonCourtney  A.  Schultz,2025,https://link.springer.com/article/10.1186/s42408-025-00403-1,Article
A MIP Model for Wildfire Extended Attack,Advances in Optimization and Wildfire,,,,10.1007/978-3-032-03108-2_5,Filipe AlvelosMarco MartoAndré Bergsten Mendes,2026,https://link.springer.com/chapter/10.1007/978-3-032-03108-2_5,Conference paper
Non-respiratory health risks and mortality associated with fighting bushfires (wildfires): a systematic review,International Archives of Occupational and Environmental Health,,,,10.1007/s00420-025-02138-7,Asmare GelawWin WahDeborah C. GlassMalcolm R. SimRyan HoyJanneke Berecki-GisolfKaren Walker-Bone,2025,https://link.springer.com/article/10.1007/s00420-025-02138-7,Article
Integrated risk mapping for forest fire management using the analytical hierarchy process and ordered weighted average: a case study in southern Turkey,Natural Hazards,,,,10.1007/s11069-024-06810-y,Zühal Özcanİnci CaglayanÖzgür KabakFatmagül Kılıç Gül,2024,https://link.springer.com/article/10.1007/s11069-024-06810-y,Article
Forest fire pattern and vulnerability mapping using deep learning in Nepal,Fire Ecology,,,,10.1186/s42408-022-00162-3,Bhogendra MishraSaroj PanthiShobha PoudelBhoj Raj Ghimire,2023,https://link.springer.com/article/10.1186/s42408-022-00162-3,Article
Soil Organic Carbon Fractionation Assessment in Areas with High Fire Activity Using Diffuse Spectroscopy and Tree-Based Machine Learning Algorithms,Earth Systems and Environment,,,,10.1007/s41748-024-00564-0,Lorena SalgadoRubén ForjánJosé Ramón Rodríguez-PérezArturo ColinaKaren B. Mejía-CorrealCarlos A. López-SánchezJosé Luis R. Gallego,2025,https://link.springer.com/article/10.1007/s41748-024-00564-0,Article
The verification of wildland–urban interface fire evacuation models,Natural Hazards,,,,10.1007/s11069-023-05913-2,E. RonchiJ. WahlqvistA. ArdingeA. RohaertS. M. V. GwynneG. ReinH. MitchellN. KalogeropoulosM. KinatederN. BénichouE. KuligowskiA. Kimball,2023,https://link.springer.com/article/10.1007/s11069-023-05913-2,Article
Investigating post-wildfire effects in contrasted Mediterranean ecosystems,Journal of Soils and Sediments,,,,10.1007/s11368-025-04216-2,Romain DucruetAnthony FoucherAmaury BardelleOlivier Evrard,2026,https://link.springer.com/article/10.1007/s11368-025-04216-2,Article
What are forests for? Social perceptions of the functions of public-managed forests following mega-fire events,Ambio,,,,10.1007/s13280-025-02200-1,Elisabete FigueiredoEduarda FernandesCristina RibeiroCarla Ferreira,2025,https://link.springer.com/article/10.1007/s13280-025-02200-1,Article
Analysis adapted from text mining quantitively reveals abrupt and gradual plant-community transitions after fire in sagebrush steppe,Landscape Ecology,,,,10.1007/s10980-024-01824-0,Cara ApplesteinChristopher AnthonyMatthew J Germino,2024,https://link.springer.com/article/10.1007/s10980-024-01824-0,Article
Fox control and fire influence the occurrence of invasive predators and threatened native prey,Biological Invasions,,,,10.1007/s10530-023-03200-6,Matthew W. ReesBrendan A. WintleAlan RobleyJack H. PascoeMark Le PlaEmma K. BirnbaumBronwyn A. Hradsky,2023,https://link.springer.com/article/10.1007/s10530-023-03200-6,Article
FireDL: A novel framework for fire detection and localization suitable for memory constrained IoT devices,Multimedia Tools and Applications,,,,10.1007/s11042-023-17722-7,Pooja VermaRajitha Bakthula,2023,https://link.springer.com/article/10.1007/s11042-023-17722-7,Article
A comprehensive comparison study of traditional classifiers and deep neural networks for forest fire detection,Cluster Computing,,,,10.1007/s10586-023-04003-z,Kemal Akyol,2023,https://link.springer.com/article/10.1007/s10586-023-04003-z,Article
Metrics and Considerations for Evaluating How Forest Treatments Alter Wildfire Behavior and Effects,Journal of Forestry,,,,10.1093/jofore/fvad036,Anthony G VorsterCamille Stevens-RumannNicholas YoungBrian WoodwardChristopher Tsz Hin ChoiMarin E ChambersAntony S ChengMichael CaggianoCourtney SchultzMatthew ThompsonMichelle GreinerGreg ApletRobert N AddingtonMike A BattagliaDaniel BowkerEthan BucholzBrian BumaPaul EvangelistaDavid HuffmanStephanie MuellerCharles RhoadesWilliam H RommeAndrew J Sánchez MeadorWade T TinkhamMatt TutenAmanda West Fordham,2023,https://link.springer.com/article/10.1093/jofore/fvad036,Article
Post-fire Recovery of Soil Organic Layer Carbon in Canadian Boreal Forests,Ecosystems,,,,10.1007/s10021-023-00854-0,Kristen E. BillCatherine M. DielemanJennifer L. BaltzerGeneviève É. Degré-TimmonsMichelle C. MackNicola J. DaySteve G. CummingXanthe J. WalkerMerritt R. Turetsky,2023,https://link.springer.com/article/10.1007/s10021-023-00854-0,Article
A review of the effects of forest fire on soil properties,Journal of Forestry Research,,,,10.1007/s11676-022-01475-4,Alex Amerh AgbeshieSimon AbugreThomas Atta-DarkwaRichard Awuah,2022,https://link.springer.com/article/10.1007/s11676-022-01475-4,Article
"Enhancing Grid Resiliency in High Fire or Flood Risk Areas: Integrating Protective Relay Settings, Broken Conductor Detection, and Grid Hardening for Climate-Induced Event Preparedness",Journal of The Institution of Engineers (India): Series B,,,,10.1007/s40031-024-01146-4,Soham GhoshPratik Suryawanshi,2024,https://link.springer.com/article/10.1007/s40031-024-01146-4,Article
Centering Indigenous Voices: The Role of Fire in the Boreal Forest of North America,Current Forestry Reports,,,,10.1007/s40725-022-00168-9,Amy Cardinal ChristiansonColin Robert SutherlandFaisal MoolaNoémie Gonzalez BautistaDavid YoungHeather MacDonald,2022,https://link.springer.com/article/10.1007/s40725-022-00168-9,Article
"Triggering conditions, runout, and downstream impacts of debris flows following the 2021 Flag Fire, Arizona, USA",Natural Hazards,,,,10.1007/s11069-023-05952-9,Alexander N. GorrLuke A. McGuireRebecca BeersOlivia J. Hoch,2023,https://link.springer.com/article/10.1007/s11069-023-05952-9,Article
Decision-making criteria to shape mulching techniques for fire-prone landscapes,Landscape Ecology,,,,10.1007/s10980-023-01659-1,Dafni PetratouJoão Pedro NunesMaria Helena GuimarãesSergio Prats,2023,https://link.springer.com/article/10.1007/s10980-023-01659-1,Article
Social media data mining of human behaviour during bushfire evacuation,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00884-y,Junfeng WuXiangmin ZhouErica KuligowskiDhirendra SinghEnrico RonchiMax Kinateder,2025,https://link.springer.com/article/10.1007/s41060-025-00884-y,Article
